id,email,username,password,source,label
1,user1@corp.local,int_user_1,Pass001!,breached_db_dump,1
2,user2@hotmail.com,user_2,-,marketing_campaign,0
3,user3@outlook.com,user_3,User003!,newsletter_optin,0
4,user4@outlook.com,user_4,User004!,public_forum,0
5,user5@corp.local,int_user_5,Pass005!,vpn_config_dump,1
6,user6@company.com,int_user_6,Pass006!,breached_db_dump,1
7,user7@outlook.com,user_7,-,public_forum,0
8,user8@corp.local,int_user_8,Pass008!,dark_forum_dump,1
9,user9@company.com,int_user_9,Pass009!,employee_leak_paste,1
10,user10@hotmail.com,user_10,-,promo_email_list,0
11,user11@corp.local,int_user_11,Pass011!,keys_dump,1
12,user12@yahoo.com,user_12,-,web_signup,0
13,user13@company.com,int_user_13,Pass013!,keys_dump,1
14,user14@gmail.com,user_14,-,newsletter_optin,0
15,user15@gmail.com,user_15,-,survey_signup,0
16,user16@corp.local,int_user_16,Pass016!,db_backup_leak,1
17,user17@internal.company.com,int_user_17,Pass017!,credential_dump_forum,1
18,user18@hotmail.com,user_18,-,promo_email_list,0
19,user19@hotmail.com,user_19,-,marketing_campaign,0
20,user20@hotmail.com,user_20,User020!,public_forum,0
21,user21@corp.local,int_user_21,Pass021!,keys_dump,1
22,user22@company.com,int_user_22,Pass022!,vpn_config_dump,1
23,user23@company.com,int_user_23,Pass023!,dark_forum_dump,1
24,user24@gmail.com,user_24,User024!,public_forum,0
25,user25@company.com,int_user_25,Pass025!,credential_dump_forum,1
26,user26@yahoo.com,user_26,-,marketing_campaign,0
27,user27@gmail.com,user_27,-,marketing_campaign,0
28,user28@company.com,int_user_28,Pass028!,keys_dump,1
29,user29@outlook.com,user_29,User029!,public_forum,0
30,user30@outlook.com,user_30,-,newsletter_optin,0
31,user31@company.com,int_user_31,Pass031!,credential_dump_forum,1
32,user32@company.com,int_user_32,Pass032!,vpn_config_dump,1
33,user33@corp.local,int_user_33,Pass033!,breached_db_dump,1
34,user34@hotmail.com,user_34,-,survey_signup,0
35,user35@hotmail.com,user_35,-,newsletter_optin,0
36,user36@company.com,int_user_36,Pass036!,db_backup_leak,1
37,user37@yahoo.com,user_37,User037!,web_signup,0
38,user38@outlook.com,user_38,-,marketing_campaign,0
39,user39@hotmail.com,user_39,-,newsletter_optin,0
40,user40@yahoo.com,user_40,-,survey_signup,0
